yourlist:M202205184ABAA9BC7178C81CEBC9459510EDDEA34D94DBZ,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
DBNL_MOUSE,Q62418,DBNL_MOUSE,reviewed,Drebrin-like protein (Actin-binding protein 1) (SH3 domain-containing protein 7),Dbnl Abp1 Sh3p7,Mus musculus (Mouse),436
DC1I2_MOUSE,O88487,DC1I2_MOUSE,reviewed,"Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)",Dync1i2 Dnci2 Dncic2,Mus musculus (Mouse),612
DCA11_MOUSE,Q91VU6,DCA11_MOUSE,reviewed,DDB1- and CUL4-associated factor 11 (WD repeat-containing protein 23),Dcaf11 D14Ucla1 Wdr23,Mus musculus (Mouse),549
DCMC_MOUSE,Q99J39,DCMC_MOUSE,reviewed,"Malonyl-CoA decarboxylase, mitochondrial (MCD) (EC 4.1.1.9)",Mlycd,Mus musculus (Mouse),492
DCNL1_MOUSE,Q9QZ73,DCNL1_MOUSE,reviewed,DCN1-like protein 1 (DCNL1) (DCUN1 domain-containing protein 1) (Defective in cullin neddylation protein 1-like protein 1) (Testis-specific protein 3),Dcun1d1 Dcun1l1 Rp42 Tes3,Mus musculus (Mouse),259
DCPS_MOUSE,Q9DAR7,DCPS_MOUSE,reviewed,m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (HINT-5) (Scavenger mRNA-decapping enzyme DcpS),Dcps Dcs1 Hint5,Mus musculus (Mouse),338
DCTN1_MOUSE,O08788,DCTN1_MOUSE,reviewed,Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p150-glued),Dctn1,Mus musculus (Mouse),1281
DCTN2_MOUSE,Q99KJ8,DCTN2_MOUSE,reviewed,Dynactin subunit 2 (50 kDa dynein-associated polypeptide) (Dynactin complex 50 kDa subunit) (DCTN-50) (Growth cone membrane protein 23-48K) (GMP23-48K) (p50 dynamitin),Dctn2,Mus musculus (Mouse),402
DCUP_MOUSE,P70697,DCUP_MOUSE,reviewed,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37),Urod,Mus musculus (Mouse),367
DCXR_MOUSE,Q91X52,DCXR_MOUSE,reviewed,L-xylulose reductase (XR) (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase),Dcxr,Mus musculus (Mouse),244
DD19A_MOUSE,Q61655,DD19A_MOUSE,reviewed,ATP-dependent RNA helicase DDX19A (EC 3.6.4.13) (DEAD box RNA helicase DEAD5) (mDEAD5) (DEAD box protein 19A) (Eukaryotic translation initiation factor 4A-related sequence 1),Ddx19a Ddx19 Eif4a-rs1,Mus musculus (Mouse),478
DDAH1_MOUSE,Q9CWS0,DDAH1_MOUSE,reviewed,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)",Ddah1,Mus musculus (Mouse),285
DDB1_MOUSE,Q3U1J4,DDB1_MOUSE,reviewed,DNA damage-binding protein 1 (DDB p127 subunit) (Damage-specific DNA-binding protein 1) (UV-damaged DNA-binding factor),Ddb1,Mus musculus (Mouse),1140
DDC_MOUSE,O88533,DDC_MOUSE,reviewed,Aromatic-L-amino-acid decarboxylase (AADC) (EC 4.1.1.28) (DOPA decarboxylase) (DDC),Ddc,Mus musculus (Mouse),480
DDI2_MOUSE,A2ADY9,DDI2_MOUSE,reviewed,Protein DDI1 homolog 2 (EC 3.4.23.-),Ddi2,Mus musculus (Mouse),399
DDRGK_MOUSE,Q80WW9,DDRGK_MOUSE,reviewed,DDRGK domain-containing protein 1 (UFM1-binding and PCI domain-containing protein 1),Ddrgk1 Ufbp1,Mus musculus (Mouse),315
DDX17_MOUSE,Q501J6,DDX17_MOUSE,reviewed,Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17),Ddx17,Mus musculus (Mouse),650
DDX1_MOUSE,Q91VR5,DDX1_MOUSE,reviewed,ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1),Ddx1,Mus musculus (Mouse),740
DDX21_MOUSE,Q9JIK5,DDX21_MOUSE,reviewed,Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu),Ddx21,Mus musculus (Mouse),851
DDX3X_MOUSE,Q62167,DDX3X_MOUSE,reviewed,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (D1Pas1-related sequence 2) (DEAD box RNA helicase DEAD3) (mDEAD3) (DEAD box protein 3, X-chromosomal) (Embryonic RNA helicase)",Ddx3x D1Pas1-rs2 Ddx3 Dead3 Erh,Mus musculus (Mouse),662
DDX3Y_MOUSE,Q62095,DDX3Y_MOUSE,reviewed,"ATP-dependent RNA helicase DDX3Y (EC 3.6.4.13) (D1Pas1-related sequence 1) (DEAD box protein 3, Y-chromosomal) (DEAD-box RNA helicase DEAD2) (mDEAD2)",Ddx3y D1Pas1-rs1 Dead2,Mus musculus (Mouse),658
DDX46_MOUSE,Q569Z5,DDX46_MOUSE,reviewed,Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46),Ddx46 Kiaa0801,Mus musculus (Mouse),1032
DDX58_MOUSE,Q6Q899,DDX58_MOUSE,reviewed,Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),Ddx58,Mus musculus (Mouse),926
DDX5_MOUSE,Q61656,DDX5_MOUSE,reviewed,Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box RNA helicase DEAD1) (mDEAD1) (DEAD box protein 5) (RNA helicase p68),Ddx5 Tnz2,Mus musculus (Mouse),614
DDX6_MOUSE,P54823,DDX6_MOUSE,reviewed,Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK homolog),Ddx6 Hlr2 Rck,Mus musculus (Mouse),483
DECR2_MOUSE,Q9WV68,DECR2_MOUSE,reviewed,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] (EC 1.3.1.124) (2,4-dienoyl-CoA reductase 2)",Decr2 Pdcr,Mus musculus (Mouse),292
DECR_MOUSE,Q9CQ62,DECR_MOUSE,reviewed,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial (EC 1.3.1.124) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH])",Decr1,Mus musculus (Mouse),335
DEK_MOUSE,Q7TNV0,DEK_MOUSE,reviewed,Protein DEK,Dek,Mus musculus (Mouse),380
DENR_MOUSE,Q9CQJ6,DENR_MOUSE,reviewed,Density-regulated protein (DRP),Denr,Mus musculus (Mouse),198
DEOC_MOUSE,Q91YP3,DEOC_MOUSE,reviewed,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),Dera,Mus musculus (Mouse),318
DERL2_MOUSE,Q8BNI4,DERL2_MOUSE,reviewed,Derlin-2 (Degradation in endoplasmic reticulum protein 2) (Der1-like protein 2) (F-LANa),Derl2 Der2 Flana,Mus musculus (Mouse),239
DESM_MOUSE,P31001,DESM_MOUSE,reviewed,Desmin,Des,Mus musculus (Mouse),469
DESP_MOUSE,E9Q557,DESP_MOUSE,reviewed,Desmoplakin (DP),Dsp,Mus musculus (Mouse),2883
DEST_MOUSE,Q9R0P5,DEST_MOUSE,reviewed,Destrin (Actin-depolymerizing factor) (ADF) (Sid 23),Dstn Dsn Sid23,Mus musculus (Mouse),165
DGAT1_MOUSE,Q9Z2A7,DGAT1_MOUSE,reviewed,Diacylglycerol O-acyltransferase 1 (EC 2.3.1.20) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diglyceride acyltransferase),Dgat1 Dgat,Mus musculus (Mouse),498
DGUOK_MOUSE,Q9QX60,DGUOK_MOUSE,reviewed,"Deoxyguanosine kinase, mitochondrial (EC 2.7.1.113) (Deoxyadenosine kinase, mitochondrial) (EC 2.7.1.76)",Dguok Dgk,Mus musculus (Mouse),277
DHB11_MOUSE,Q9EQ06,DHB11_MOUSE,reviewed,Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Dehydrogenase/reductase SDR family member 8),Hsd17b11 Dhrs8 Pan1b,Mus musculus (Mouse),298
DHB12_MOUSE,O70503,DHB12_MOUSE,reviewed,Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (KIK-I),Hsd17b12 Kik1,Mus musculus (Mouse),312
DHB13_MOUSE,Q8VCR2,DHB13_MOUSE,reviewed,17-beta-hydroxysteroid dehydrogenase 13 (17-beta-HSD 13) (EC 1.1.-.-) (Alcohol dehydrogenase PAN1B-like) (Short-chain dehydrogenase/reductase 9),Hsd17b13 Scdr9,Mus musculus (Mouse),304
DHB2_MOUSE,P51658,DHB2_MOUSE,reviewed,Estradiol 17-beta-dehydrogenase 2 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 2) (17-beta-HSD 2) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239),Hsd17b2 Edh17b2,Mus musculus (Mouse),381
DHB4_MOUSE,P51660,DHB4_MOUSE,reviewed,"Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]",Hsd17b4 Edh17b4,Mus musculus (Mouse),735
DHB5_MOUSE,P70694,DHB5_MOUSE,reviewed,Estradiol 17 beta-dehydrogenase 5 (EC 1.1.1.-) (17-beta-HSD 5),Akr1c6 Hsd17b5,Mus musculus (Mouse),323
DHB7_MOUSE,O88736,DHB7_MOUSE,reviewed,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (3-keto-steroid reductase) (EC 1.1.1.270) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Estradiol 17-beta-dehydrogenase 7) (EC 1.1.1.62),Hsd17b7 17hsd7,Mus musculus (Mouse),334
DHB8_MOUSE,P50171,DHB8_MOUSE,reviewed,(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12) (17-beta-hydroxysteroid dehydrogenase 8) (17-beta-HSD 8) (3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit) (KAR alpha subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (Estradiol 17-beta-dehydrogenase 8) (EC 1.1.1.62) (Protein Ke6) (Ke-6) (Testosterone 17-beta-dehydrogenase 8) (EC 1.1.1.239),Hsd17b8 H2-Ke6 Hke6,Mus musculus (Mouse),259
DHC24_MOUSE,Q8VCH6,DHC24_MOUSE,reviewed,Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol Delta-24-reductase),Dhcr24 Kiaa0018,Mus musculus (Mouse),516
DHCR7_MOUSE,O88455,DHCR7_MOUSE,reviewed,7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Sterol Delta(7)-reductase),Dhcr7,Mus musculus (Mouse),471
DHDH_MOUSE,Q9DBB8,DHDH_MOUSE,reviewed,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.3.1.20) (D-xylose 1-dehydrogenase) (D-xylose-NADP dehydrogenase) (EC 1.1.1.179) (Dimeric dihydrodiol dehydrogenase)",Dhdh,Mus musculus (Mouse),333
DHE3_MOUSE,P26443,DHE3_MOUSE,reviewed,"Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)",Glud1 Glud,Mus musculus (Mouse),558
DHI1_MOUSE,P50172,DHI1_MOUSE,reviewed,11-beta-hydroxysteroid dehydrogenase 1 (11-DH) (11-beta-HSD1) (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase/microsomal carbonyl reductase) (11-beta-HSD1A/MCR) (11beta-HSD1A) (7-oxosteroid reductase) (EC 1.1.1.201) (Corticosteroid 11-beta-dehydrogenase isozyme 1) (liver-type 11-beta-HSD),Hsd11b1 Hsd11,Mus musculus (Mouse),292
DHPR_MOUSE,Q8BVI4,DHPR_MOUSE,reviewed,Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase),Qdpr Dhpr,Mus musculus (Mouse),241
DHR11_MOUSE,Q3U0B3,DHR11_MOUSE,reviewed,Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Estradiol 17-beta-dehydrogenase) (EC 1.1.1.62) (Short-chain dehydrogenase/reductase family 24C member 1),Dhrs11 Sdr24c1,Mus musculus (Mouse),260
DHRS1_MOUSE,Q99L04,DHRS1_MOUSE,reviewed,Dehydrogenase/reductase SDR family member 1 (EC 1.1.1.-) (Short chain dehydrogenase/reductase family 19C member 1) (Protein SDR19C1),Dhrs1 D14ertd484e,Mus musculus (Mouse),313
DHRS4_MOUSE,Q99LB2,DHRS4_MOUSE,reviewed,Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (EC 1.1.1.300) (NADPH-dependent carbonyl reductase) (CR) (NADPH-dependent retinol dehydrogenase/reductase) (NDRD) (mouNRDR) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (Short chain dehydrogenase/reductase family 25C member 2) (Protein SDR25C2),Dhrs4 D14Ucla2,Mus musculus (Mouse),279
DHRS7_MOUSE,Q9CXR1,DHRS7_MOUSE,reviewed,Dehydrogenase/reductase SDR family member 7 (EC 1.1.1.-) (Retinal short-chain dehydrogenase/reductase 4) (retSDR4) (Short chain dehydrogenase/reductase family 34C member 1) (Protein SDR34C1),Dhrs7 Retsdr4,Mus musculus (Mouse),338
DHSO_MOUSE,Q64442,DHSO_MOUSE,reviewed,Sorbitol dehydrogenase (SDH) (SORD) (EC 1.1.1.-) (L-iditol 2-dehydrogenase) (EC 1.1.1.14) (Polyol dehydrogenase) (Xylitol dehydrogenase) (XDH) (EC 1.1.1.9),Sord Sdh1,Mus musculus (Mouse),357
DHTK1_MOUSE,A2ATU0,DHTK1_MOUSE,reviewed,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial (EC 1.2.4.2) (Dehydrogenase E1 and transketolase domain-containing protein 1)",Dhtkd1 Kiaa1630,Mus musculus (Mouse),921
DHX15_MOUSE,O35286,DHX15_MOUSE,reviewed,ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (DEAH box protein 15),Dhx15 Ddx15 Deah9,Mus musculus (Mouse),795
DHX29_MOUSE,Q6PGC1,DHX29_MOUSE,reviewed,ATP-dependent RNA helicase DHX29 (EC 3.6.4.13) (DEAH box protein 29),Dhx29,Mus musculus (Mouse),1365
DHX9_MOUSE,O70133,DHX9_MOUSE,reviewed,ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (mHEL-5) (Nuclear DNA helicase II) (NDH II) (RNA helicase A) (RHA),Dhx9 Ddx9,Mus musculus (Mouse),1380
DIC_MOUSE,Q9QZD8,DIC_MOUSE,reviewed,Mitochondrial dicarboxylate carrier (Solute carrier family 25 member 10),Slc25a10 Dic,Mus musculus (Mouse),287
DJB11_MOUSE,Q99KV1,DJB11_MOUSE,reviewed,DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p),Dnajb11,Mus musculus (Mouse),358
DJB12_MOUSE,Q9QYI4,DJB12_MOUSE,reviewed,DnaJ homolog subfamily B member 12 (mDj10),Dnajb12,Mus musculus (Mouse),376
DJC11_MOUSE,Q5U458,DJC11_MOUSE,reviewed,DnaJ homolog subfamily C member 11,Dnajc11,Mus musculus (Mouse),559
DKC1_MOUSE,Q9ESX5,DKC1_MOUSE,reviewed,H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1),Dkc1,Mus musculus (Mouse),509
DLDH_MOUSE,O08749,DLDH_MOUSE,reviewed,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)",Dld,Mus musculus (Mouse),509
DLG1_MOUSE,Q811D0,DLG1_MOUSE,reviewed,Disks large homolog 1 (Embryo-dlg/synapse-associated protein 97) (E-dlg/SAP97) (Synapse-associated protein 97) (SAP-97) (SAP97),Dlg1 Dlgh1,Mus musculus (Mouse),905
DNJA1_MOUSE,P63037,DNJA1_MOUSE,reviewed,DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2),Dnaja1 Dnaj2 Hsj2 Hspf4,Mus musculus (Mouse),397
DNJA2_MOUSE,Q9QYJ0,DNJA2_MOUSE,reviewed,DnaJ homolog subfamily A member 2 (mDj3),Dnaja2,Mus musculus (Mouse),412
DNJA3_MOUSE,Q99M87,DNJA3_MOUSE,reviewed,"DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (mTid-1) (Tumorous imaginal discs protein Tid56 homolog)",Dnaja3 Tid1,Mus musculus (Mouse),480
DNJB4_MOUSE,Q9D832,DNJB4_MOUSE,reviewed,DnaJ homolog subfamily B member 4,Dnajb4,Mus musculus (Mouse),337
DNJC3_MOUSE,Q91YW3,DNJC3_MOUSE,reviewed,"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)",Dnajc3 P58ipk,Mus musculus (Mouse),504
DNM1L_MOUSE,Q8K1M6,DNM1L_MOUSE,reviewed,Dynamin-1-like protein (EC 3.6.5.5) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-related protein 1),Dnm1l Drp1,Mus musculus (Mouse),742
DNPEP_MOUSE,Q9Z2W0,DNPEP_MOUSE,reviewed,Aspartyl aminopeptidase (EC 3.4.11.21),Dnpep,Mus musculus (Mouse),473
DOPD_MOUSE,O35215,DOPD_MOUSE,reviewed,D-dopachrome decarboxylase (EC 4.1.1.84) (D-dopachrome tautomerase),Ddt,Mus musculus (Mouse),118
DPM1_MOUSE,O70152,DPM1_MOUSE,reviewed,Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase),Dpm1,Mus musculus (Mouse),260
DPP2_MOUSE,Q9ET22,DPP2_MOUSE,reviewed,Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase),Dpp7 Dpp2 Qpp,Mus musculus (Mouse),506
DPP3_MOUSE,Q99KK7,DPP3_MOUSE,reviewed,Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B),Dpp3,Mus musculus (Mouse),738
DPP4_MOUSE,P28843,DPP4_MOUSE,reviewed,Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (Thymocyte-activating molecule) (THAM) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)],Dpp4 Cd26,Mus musculus (Mouse),760
DPP9_MOUSE,Q8BVG4,DPP9_MOUSE,reviewed,Dipeptidyl peptidase 9 (DP9) (EC 3.4.14.5) (Dipeptidyl peptidase IX) (DPP IX) (Dipeptidyl peptidase-like protein 9) (DPLP9),Dpp9,Mus musculus (Mouse),862
DPTOR_MOUSE,Q570Y9,DPTOR_MOUSE,reviewed,DEP domain-containing mTOR-interacting protein (DEP domain-containing protein 6),Deptor Depdc6 Kiaa4200,Mus musculus (Mouse),409
DPYD_MOUSE,Q8CHR6,DPYD_MOUSE,reviewed,Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase),Dpyd,Mus musculus (Mouse),1025
DPYL2_MOUSE,O08553,DPYL2_MOUSE,reviewed,Dihydropyrimidinase-related protein 2 (DRP-2) (Unc-33-like phosphoprotein 2) (ULIP-2),Dpysl2 Crmp2 Ulip2,Mus musculus (Mouse),572
DPYL3_MOUSE,Q62188,DPYL3_MOUSE,reviewed,Dihydropyrimidinase-related protein 3 (DRP-3) (Unc-33-like phosphoprotein 1) (ULIP-1),Dpysl3 Drp3 Ulip,Mus musculus (Mouse),570
DPYL4_MOUSE,O35098,DPYL4_MOUSE,reviewed,Dihydropyrimidinase-related protein 4 (DRP-4) (Collapsin response mediator protein 3) (CRMP-3) (UNC33-like phosphoprotein 4) (ULIP-4),Dpysl4 Crmp3 Ulip4,Mus musculus (Mouse),572
DPYS_MOUSE,Q9EQF5,DPYS_MOUSE,reviewed,Dihydropyrimidinase (DHP) (DHPase) (EC 3.5.2.2) (Dihydropyrimidine amidohydrolase) (Hydantoinase),Dpys,Mus musculus (Mouse),519
DRG1_MOUSE,P32233,DRG1_MOUSE,reviewed,Developmentally-regulated GTP-binding protein 1 (DRG-1) (Neural precursor cell expressed developmentally down-regulated protein 3) (NEDD-3) (Translation factor GTPase DRG1) (TRAFAC GTPase DRG1) (EC 3.6.5.-),Drg1 Drg Nedd-3 Nedd3,Mus musculus (Mouse),367
DRS7B_MOUSE,Q99J47,DRS7B_MOUSE,reviewed,Dehydrogenase/reductase SDR family member 7B (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 1) (Protein SDR32C1),Dhrs7b Sdr32c1,Mus musculus (Mouse),323
DSG2_MOUSE,O55111,DSG2_MOUSE,reviewed,Desmoglein-2,Dsg2,Mus musculus (Mouse),1122
DTD2_MOUSE,Q8BHA3,DTD2_MOUSE,reviewed,D-aminoacyl-tRNA deacylase 2 (EC 3.1.1.96) (Animalia-specific tRNA deacylase) (ATD) (D-tyrosyl-tRNA deacylase 2) (L-alanyl-tRNA deacylase),Dtd2,Mus musculus (Mouse),168
DTX3L_MOUSE,Q3UIR3,DTX3L_MOUSE,reviewed,E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L),Dtx3l Bbap,Mus musculus (Mouse),748
DUS3_MOUSE,Q9D7X3,DUS3_MOUSE,reviewed,Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (T-DSP11) (Vaccinia H1-related phosphatase) (VHR),Dusp3,Mus musculus (Mouse),185
DX39A_MOUSE,Q8VDW0,DX39A_MOUSE,reviewed,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39),Ddx39a Ddx39,Mus musculus (Mouse),427
DX39B_MOUSE,Q9Z1N5,DX39B_MOUSE,reviewed,Spliceosome RNA helicase Ddx39b (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein),Ddx39b Bat1 Bat1a Uap56,Mus musculus (Mouse),428
DYHC1_MOUSE,Q9JHU4,DYHC1_MOUSE,reviewed,"Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)",Dync1h1 Dhc1 Dnch1 Dnchc1 Dyhc,Mus musculus (Mouse),4644
DYL1_MOUSE,P63168,DYL1_MOUSE,reviewed,"Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN) (mPIN)",Dynll1 Dlc1 Dncl1 Dnclc1,Mus musculus (Mouse),89
DYL2_MOUSE,Q9D0M5,DYL2_MOUSE,reviewed,"Dynein light chain 2, cytoplasmic (8 kDa dynein light chain b) (DLC8) (DLC8b) (Dynein light chain LC8-type 2)",Dynll2 Dlc2,Mus musculus (Mouse),89
DYN2_MOUSE,P39054,DYN2_MOUSE,reviewed,Dynamin-2 (EC 3.6.5.5) (Dynamin UDNM),Dnm2 Dyn2,Mus musculus (Mouse),870
DYR_MOUSE,P00375,DYR_MOUSE,reviewed,Dihydrofolate reductase (EC 1.5.1.3),Dhfr,Mus musculus (Mouse),187
E2AK2_MOUSE,Q03963,E2AK2_MOUSE,reviewed,"Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Serine/threonine-protein kinase TIK) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)",Eif2ak2 Pkr Prkr Tik,Mus musculus (Mouse),515
E41L2_MOUSE,O70318,E41L2_MOUSE,reviewed,Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1) (4.1G),Epb41l2 Epb4.1l2,Mus musculus (Mouse),988
E41L5_MOUSE,Q8BGS1,E41L5_MOUSE,reviewed,Band 4.1-like protein 5 (Erythrocyte membrane protein band 4.1-like 5),Epb41l5 Epb4.1l5 Kiaa1548,Mus musculus (Mouse),731
EBP_MOUSE,P70245,EBP_MOUSE,reviewed,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)",Ebp Msi,Mus musculus (Mouse),230
ECH1_MOUSE,O35459,ECH1_MOUSE,reviewed,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)",Ech1,Mus musculus (Mouse),327
