ComplexID,ComplexName,Organism,Synonyms,Cell line,subunits(UniProt IDs),subunits(Entrez IDs),Protein complex purification method,GO ID,GO description,FunCat ID,FunCat description,PubMed ID,Complex comment,Disease comment,Subunits comment,SWISSPROT organism,subunits(Protein name),subunits(Gene name),subunits(Gene name syn)
3047,Parvulin-associated pre-rRNP complex,Mouse,Parvulin-associated preribosomal ribonucleoprotein complex,None,O09167;O43143;O76021;O95995;P09405;P11276;P12970;P14148;P14869;P19253;P21127;P27635;P27659;P35550;P35980;P46781;P47911;P47962;P47963;P53569;P56183;P61255;P62242;P62702;P62717;P62754;P62906;P62908;P62918;P68363;P84099;P97351;P97452;P99024;Q61656;Q6DFW4;Q7TPV4;Q8K363;Q91VE6;Q921N6;Q922K7;Q99LH1;Q99ME9;Q9BWT6;Q9CR57;Q9CYH6;Q9CZM2;Q9D0I8;Q9D0R4;Q9D6Z1;Q9D8E6;Q9D8N0;Q9D903;Q9DBE9;Q9EQ61;Q9ESV0;Q9JIK5;Q9JJ80;Q9JJA4;Q9NW13;Q9ULW0;Q9Y237,19933;1665;26156;2622;17975;14268;27176;19989;11837;22121;984;6134;27367;14113;19899;6203;19988;19983;270106;12607;18114;19941;20116;20102;76808;20104;4736;27050;26961;10376;19921;20091;12181;22154;13207;55989;18432;66942;67949;228889;110109;230737;69237;84057;67115;59014;66480;69902;52513;67134;67891;67160;69072;56095;64934;27225;56200;67239;57750;55131;22974;5303,MI:0007- anti tag coimmunoprecipitation; MI:0069- mass spectrometry studies of complexes,GO:0042254;GO:0005634,ribosome biogenesis;nucleus,12.01;70.10,ribosome biogenesis;nucleus,11960984,The authors propose that the hParvulin-associating rRNP complexes isolated represent those formed during postmitotic nucleolar reformation before rDNA transcription or premitotic nucleolar disassembly.,None,"Since human and mouse cell lines were investigated, not all of the identified protein are from mouse.",Mus musculus (Mouse);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human);Homo sapiens (Human);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human);Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human),"60S ribosomal protein L21;Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15;Ribosomal L1 domain-containing protein 1 ;Growth arrest-specific protein 8 ;Nucleolin;Fibronectin ;60S ribosomal protein L7a ;60S ribosomal protein L7;60S acidic ribosomal protein P0 ;60S ribosomal protein L13a ;Cyclin-dependent kinase 11B ;60S ribosomal protein L10;60S ribosomal protein L3 ;rRNA 2'-O-methyltransferase fibrillarin ;60S ribosomal protein L18;40S ribosomal protein S9;60S ribosomal protein L6 ;60S ribosomal protein L5;60S ribosomal protein L13 ;CCAAT/enhancer-binding protein zeta ;Ribosomal RNA processing protein 1 homolog A ;60S ribosomal protein L26 ;40S ribosomal protein S8;40S ribosomal protein S4, X isoform;60S ribosomal protein L18a;40S ribosomal protein S6 ;60S ribosomal protein L10a;40S ribosomal protein S3 ;60S ribosomal protein L8;Tubulin alpha-1B chain ;60S ribosomal protein L19;40S ribosomal protein S3a ;Ribosome biogenesis protein BOP1 ;Tubulin beta-5 chain;Probable ATP-dependent RNA helicase DDX5 ;Nucleolar protein 58 ;Myb-binding protein 1A ;ATP-dependent RNA helicase DDX18 ;MKI67 FHA domain-interacting nucleolar phosphoprotein ;Probable ATP-dependent RNA helicase DDX27 ;Probable 28S rRNA ;Nucleolar GTP-binding protein 2;Nucleolar GTP-binding protein 1 ;Meiotic nuclear division protein 1 homolog;60S ribosomal protein L14;Ribosome biogenesis regulatory protein homolog;60S ribosomal protein L15;mRNA turnover protein 4 homolog ;Probable ATP-dependent RNA helicase DDX56 ;Nucleolar protein 56 ;60S ribosomal protein L4;Elongation factor 1-gamma ;Probable rRNA-processing protein EBP2;pre-rRNA processing protein FTSJ3 ;Pescadillo homolog;ATP-dependent RNA helicase DDX24 ;Nucleolar RNA helicase 2 ;Ribosome production factor 2 homolog ;Ribosome biogenesis protein WDR12 ;RNA-binding protein 28 ;Targeting protein for Xklp2 ;Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4",Rpl21;DHX15;RSL1D1;GAS8;Ncl;Fn1;Rpl7a;Rpl7;Rplp0;Rpl13a;CDK11B;RPL10;Rpl3;Fbl;Rpl18;RPS9;Rpl6;Rpl5;Rpl13;Cebpz;Rrp1;Rpl26;Rps8;Rps4x;Rpl18a;Rps6;RPL10A;Rps3;Rpl8;TUBA1B;Rpl19;Rps3a;Bop1;Tubb5;Ddx5;Nop58;Mybbp1a;Ddx18;Nifk;Ddx27;Nop2;Gnl2;Gtpbp4;MND1;Rpl14;Rrs1;Rpl15;Mrto4;Ddx56;Nop56;Rpl4;Eef1g;Ebna1bp2;Ftsj3;Pes1;Ddx24;Ddx21;Rpf2;Wdr12;RBM28;TPX2;PIN4,;DBP1 DDX15;CATX11 CSIG PBK1;GAS11;Nuc;;Surf-3 Surf3;;Arbp;P198 Tstap198-7;CDC2L1 CDK11 PITSLREA PK58;DXS648E QM;;;;None;;;;Cbf2 Cebpa-rs1;Nnp1;;;Rps4;;;NEDD6;;;;;Rps3a1;Kiaa0124;;Tnz2;Nol5;P160;;Mki67ip;;Nol1;;Crfg Nog1;GAJ;;Rrr;;Mrt4;D11Ertd619e Noh61;Nol5a;;;Ebp2;;Pes;;;Bxdc1;;;C20orf1 C20orf2 DIL2 HCA519;
3072,"CCT complex (chaperonin containing TCP1 complex), testis specific",Mouse,TRiC,None,P11983;P42932;P80313;P80314;P80315;P80316;P80318;Q61390,21454;12469;12468;12461;12464;12465;12462;12467,MI:0029-cosedimentation through density gradients;MI:0091-chromatography technologies,GO:0050821;GO:0006457;GO:0005515;GO:0005524;GO:0005737,protein stabilization;protein folding;protein binding;ATP binding;cytoplasm,14.01;16.01;16.19.03;70.03,protein folding and stabilization;protein binding;ATP binding;cytoplasm,9013858,"The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. The gene product of Cct6b has only been detected in testis, whereas the other Cctz gene, Cctz-1, is expressed in all tissues investigated. Sequence analysis of the TriC subunits was shown in PMID:9013858, PMID:2377466, PMID:7953530, and PMID:7890169.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),T-complex protein 1 subunit alpha;T-complex protein 1 subunit theta;T-complex protein 1 subunit eta;T-complex protein 1 subunit beta;T-complex protein 1 subunit delta;T-complex protein 1 subunit epsilon;T-complex protein 1 subunit gamma;T-complex protein 1 subunit zeta-2,Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct3;Cct6b,"Cct1, Ccta;Cctq;Ccth;Cctb;Cctd;Ccte, Kiaa0098;Cctg;None"
3094,Metaxin complex,Mouse,None,None,O88441;P47802,53375;17827,MI:0018- two hybrid,GO:0015031;GO:0008565;GO:0009793;GO:0005741,protein transport;protein transporter activity;embryo development ending in seed dormancy;mitochondrial outer membrane,20.01.10;41.03.03;70.16.01,protein transport;embryonal development;mitochondrial outer membrane,10381257,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Metaxin-2 ;Metaxin-1,Mtx2;Mtx1,;Mtx Mtxn
3119,Kif17-Lin10-Lin2-Lin7-NR2B complex,Mouse,None,brain,B2RUJ5;O70589;Q01097;Q8JZS0;Q99PW8,319924;12361;14812;108030;16559,MI:0019-coimmunoprecipitation,GO:0030705;GO:0050896;GO:0022008;GO:0048699;GO:0030182,cytoskeleton-dependent intracellular transport;response to stimulus;neurogenesis;generation of neurons;neuron differentiation,20.09.14;36.25;41.05.13;43.03.13,cytoskeleton-dependent transport;animal specific systemic sensing and response;neurogenesis;neuron,10846156,"The authors suggest that KIF17, a neuron-specific molecular motor with microtubule plus-end-directed motility interacts directly with a mLin-10 PDZ domain, resulting in the transport of NR2B in dendrites. They propose this motor-cargo complex as the sorting machinery for NR2B.",None,"Since the authors did not specify Lin-7, we used isoform Lin7a.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"Amyloid beta A4 precursor protein-binding family A member 1;Peripheral plasma membrane protein CASK;Glutamate receptor ionotropic, NMDA 2B;Protein lin-7 homolog A;Kinesin-like protein KIF17",Apba1;Cask;Grin2b;Lin7a;Kif17,"Mint1, X11, Lin-10;mLin-2;NR2B;Mals1, Veli1;None"
3145,Coatomer complex,Rabbit,None,liver,O55029;O89079;P61924;Q5XJY5;Q8CIE6;Q9JIF7;Q9QZE5,50797;59042;56447;213827;12847;70349;54161,MI:0004-affinity chromatography technologies;MI:0019-coimmunoprecipitation;MI:0029-cosedimentation through density gradients,GO:0015031;GO:0008565;GO:0006900;GO:0016050;GO:0030133;GO:0005737,protein transport;protein transporter activity;membrane budding;vesicle organization;transport vesicle;cytoplasm,20.01.10;20.09.07.25;70.09;70.03,protein transport;vesicle formation;intracellular transport vesicles;cytoplasm,9482852,"The coatomer complex is described as a cytosolic complex of seven subunits alpha- to zeta-coat proteins (COPs), that with ADP ribosylation factor (ARF1) cover the surface of COPI-coated vesicles.",None,"Since the proteins from rabbit were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were used.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Coatomer subunit beta';Coatomer subunit epsilon;Coatomer subunit zeta-1;Coatomer subunit delta;Coatomer subunit alpha;Coatomer subunit beta;Coatomer subunit gamma-1,Copb2;Cope;Copz1;Arcn1;Copa;Copb1;Copg1,None;Cope1;Copz;Copd;None;Copb;Copg
3146,Coatomer-Arf1 complex,Rabbit,None,liver,O55029;O89079;P61924;P84078;Q5XJY5;Q8CIE6;Q9JIF7;Q9QZE5,50797;59042;56447;11840;213827;12847;70349;54161,MI:0029-cosedimentation through density gradients,GO:0015031;GO:0008565;GO:0006900;GO:0016050;GO:0030133;GO:0005794,protein transport;protein transporter activity;membrane budding;vesicle organization;transport vesicle;Golgi apparatus,20.01.10;20.09.07.25;70.09;70.08,protein transport;vesicle formation;intracellular transport vesicles;Golgi,9482852,The authors describe that ARF1-GTP is tightly bound to the membrane and coatomer can be recruited from the cytosol to the Golgi membrane only after binding ARF1-GTP.,None,"Since the proteins from rabbit were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were used.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Coatomer subunit beta';Coatomer subunit epsilon;Coatomer subunit zeta-1;ADP-ribosylation factor 1;Coatomer subunit delta;Coatomer subunit alpha;Coatomer subunit beta;Coatomer subunit gamma-1,Copb2;Cope;Copz1;Arf1;Arcn1;Copa;Copb1;Copg1,None;Cope1;Copz;None;Copd;None;Copb;Copg
3147,Beta/delta-coat protein subcomplex,Rabbit,None,liver,Q5XJY5;Q9JIF7,213827;70349,MI:0019-coimmunoprecipitation;MI:0226-ion exchange chromatography,GO:0015031;GO:0008565;GO:0006900;GO:0016050;GO:0030133;GO:0005737,protein transport;protein transporter activity;membrane budding;vesicle organization;transport vesicle;cytoplasm,20.01.10;20.09.07.25;70.09;70.03,protein transport;vesicle formation;intracellular transport vesicles;cytoplasm,9482852,After dissociation/reassociation of the coatomer  with DMMA the authors isolated a subcomplex of coatomer consisting of beta- and delta-COPs that is able to bind to Golgi membranes in an ARF1- and GTP-dependent manner.,None,"Since the proteins from rabbit were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were used.",Mus musculus (Mouse);Mus musculus (Mouse),Coatomer subunit delta;Coatomer subunit beta,Arcn1;Copb1,Copd;Copb
3148,Arf1-beta/delta-coat protein subcomplex,Rabbit,None,liver,P84078;Q5XJY5;Q9JIF7,11840;213827;70349,MI:0029-cosedimentation through density gradients,GO:0015031;GO:0008565;GO:0006900;GO:0016050;GO:0030133;GO:0005794,protein transport;protein transporter activity;membrane budding;vesicle organization;transport vesicle;Golgi apparatus,20.01.10;20.09.07.25;70.09;70.08,protein transport;vesicle formation;intracellular transport vesicles;Golgi,9482852,After dissociation/reassociation of the coatomer  with DMMA the authors isolated a subcomplex of coatomer consisting of beta- and delta-COPs that is able to bind to Golgi membranes in an ARF1- and GTP-dependent manner.,None,"Since the proteins from rabbit were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were used.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),ADP-ribosylation factor 1;Coatomer subunit delta;Coatomer subunit beta,Arf1;Arcn1;Copb1,None;Copd;Copb
3178,"Frs2-Shp2 complex, FGF stimulated",Mouse,None,None,P35235;Q8C180,19247;327826,MI:0007- anti tag coimmunoprecipitation,GO:0008543,fibroblast growth factor receptor signaling pathway,30.05.01.12.03,FGF-receptor signalling pathway,9632781,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Tyrosine-protein phosphatase non-receptor type 11;Fibroblast growth factor receptor substrate 2,Ptpn11;Frs2,None;Frs2a
3179,"Grb2-Shp2 complex, FGF stimulated",Mouse,None,None,P35235;Q60631,19247;14784,MI:0007- anti tag coimmunoprecipitation,GO:0008543,fibroblast growth factor receptor signaling pathway,30.05.01.12.03,FGF-receptor signalling pathway,9632781,On the basis of further experiments the authors conclude that FGF stimulation leads to tyrosine phosphorylation of Shp2 and association with the Grb2-Sos complex.,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Tyrosine-protein phosphatase non-receptor type 11;Growth factor receptor-bound protein 2,Ptpn11;Grb2,None;None
3180,"Shp2-Sos complex, FGF stimulated",Mouse,None,None,P35235;Q62245,19247;20662,MI:0007- anti tag coimmunoprecipitation,GO:0008543,fibroblast growth factor receptor signaling pathway,30.05.01.12.03,FGF-receptor signalling pathway,9632781,On the basis of further experiments the authors conclude that FGF stimulation leads to tyrosine phosphorylation of Shp2 and association with the Grb2-Sos complex.,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Tyrosine-protein phosphatase non-receptor type 11;Son of sevenless homolog 1,Ptpn11;Sos1,None;None
3192,"G protein complex (Hdac4, Gnb1, Gng2)",Mouse,None,brain,P62874;P63213;Q6NZM9,14688;14702;208727,MI:0019-coimmunoprecipitation;MI:0018-two hybrid,GO:0045892;GO:0007186,"negative regulation of transcription, DNA-templated;G-protein coupled receptor signaling pathway",11.02.03.04.03;30.05.02.24,transcription repression;G-protein coupled receptor signalling pathway,16221676,The class II HDAC4 binds to GNB1/GNG2 via itsC-terminal domain. The transcriptional co-repressionactivity is then inhibited.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Histone deacetylase 4,Gnb1;Gng2;Hdac4,None;None;None
3193,"G protein complex (Hdac5, Gnb1, Gng2)",Mouse,None,brain,P62874;P63213;Q9Z2V6,14688;14702;15184,MI:0019-coimmunoprecipitation;MI:0018-two hybrid,GO:0045892;GO:0007186,"negative regulation of transcription, DNA-templated;G-protein coupled receptor signaling pathway",11.02.03.04.03;30.05.02.24,transcription repression;G-protein coupled receptor signalling pathway,16221676,The class II HDAC5 binds to GNB1/GNG2 via itsC-terminal domain. The transcriptional co-repressionactivity is then inhibited.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Histone deacetylase 5,Gnb1;Gng2;Hdac5,None;None;None
3195,"G protein complex (Btk, Gng2, Gnb1)",Mouse,None,transfected 293T cells,P35991;P62874;P63213,12229;14688;14702,MI:0047-far western blotting,GO:0007186;GO:0030154,G-protein coupled receptor signaling pathway;cell differentiation,30.05.02.24;40.02,G-protein coupled receptor signalling pathway;cell differentiation,7972043,The pleckstrin homology domain of Btk was shown to interact with the beta gamma dimer of heterotrimeric guanine nucleotide-binding proteins (G proteins). A highly conserved tryptophan residue in subdomain 6 of the pleckstrin homology domain was shown to play a critical role in the binding. The interaction of Btk with beta gamma suggests the existence of a unique connection between cytoplasmic tyrosine kinases and G proteins in cellular signal transduction.,Deficient expression or function of Bruton tyrosine kinase (Btk) causes human X chromosome-linked agammaglobulinemia (XLA) or murine X chromosome-linked immunodeficiency (XID).,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Tyrosine-protein kinase BTK;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G,Btk;Gnb1;Gng2,Bpk;None;None
3211,Cask-Dlg1 complex,Mouse,Cask-SAP97 complex,"MDCK cells, epithelium",O70589;Q811D0,12361;13383,MI:0019-coimmunoprecipitation,GO:0006605;GO:0015031;GO:0051211;GO:0009798,protein targeting;protein transport;anisotropic cell growth;axis specification,14.04;20.01.10;40.01.03;41.05.19,"protein targeting, sorting and translocation;protein transport;directional cell growth (morphogenesis);asymmetries and axis determination",12351654,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Peripheral plasma membrane protein CASK;Disks large homolog 1,Cask;Dlg1,"mLin-2;Dlgh1, SAP97"
3457,B23-NPM3 complex,Mouse,None,None,Q61937;Q9CPP0,18148;18150,MI:0018- two hybrid,GO:0042254,ribosome biogenesis,12.01,ribosome biogenesis,15596447,NPM3 interacts with Nucleophosmin to inhibit ribosome biogenesis.,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Nucleophosmin;Nucleoplasmin-3,Npm1;Npm3,None;None
3458,B23-NPM3 complex,Mouse,None,CMT3 cells,Q61937;Q9CPP0,18148;18150,MI:0007-anti tag coimmunoprecipitation,GO:0042254,ribosome biogenesis,12.01,ribosome biogenesis,15596447,NPM3 interacts with Nucleophosmin to inhibit ribosome biogenesis.,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Nucleophosmin;Nucleoplasmin-3,Npm1;Npm3,None;None
3569,Angiomotin isoform p80-Angiostatin complex,Mouse,None,None,P20918;Q8VHG2-2,18815;27494,MI:0096-pull down,GO:0006928;GO:0001568;GO:0001944,movement of cell or subcellular component;blood vessel development;vasculature development,34.05;47.03.03.02,cell motility;vessels,16043488,"The complex is larger than 175 kDa, indicating that the complex consists of more than one angiostatin (38 kDa) and one p80 angiomotin (80 kDa) molecule.",None,None,Mus musculus (Mouse);Mus musculus (Mouse),Plasminogen;Angiomotin,Plg;Amot,None;Kiaa1071
3867,Xin-Cdh2-Ctnnb1-Ctnnd1 complex,Mouse,None,heart muscle,O70373;P15116;P30999;Q02248,22437;12558;12388;12387,MI:0006-anti bait coimmunoprecipitation,GO:0007155;GO:0030036,cell adhesion;actin cytoskeleton organization,34.07;42.04.03,cell adhesion;actin cytoskeleton,17925400,The authors found that the actin binding and bundling activity of mXinalpha was enhanced in the presence of beta-catenin.,Xirp1 is involved in cardiac hypertrophy and cardiomyopathy (PMID:17766470).,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Xin actin-binding repeat-containing protein 1;Cadherin-2;Catenin delta-1;Catenin beta-1,Xirp1;Cdh2;Ctnnd1;Ctnnb1,Cmya1 Xin;None;Catns Kiaa0384;Catnb
3884,Abcg5-Abcg2 complex,Mouse,None,None,Q7TMS5;Q99PE8,26357;27409,MI:0019- coimmunoprecipitation,GO:0005783,endoplasmic reticulum,70.07,endoplasmic reticulum,14504269,"Any complex formed between G5 and G1, G2, or G4  was retained in the ER.",None,None,Mus musculus (Mouse);Mus musculus (Mouse),ATP-binding cassette sub-family G member 2 ;ATP-binding cassette sub-family G member 5,Abcg2;Abcg5,Abcp Bcrp1;None
4149,5'-AMP-activated protein kinase complex (AMPK),Mammalia,None,HEK 293T cells,O54950;Q09137;Q6PAM0,19082;78975;108097,MI:0007- anti tag coimmunoprecipitation,GO:0006720;GO:0006633;GO:0008299;GO:0009062;GO:0016042;GO:0008300;GO:0006629;GO:0006631;GO:0008610,isoprenoid metabolic process;fatty acid biosynthetic process;isoprenoid biosynthetic process;fatty acid catabolic process;lipid catabolic process;isoprenoid catabolic process;lipid metabolic process;fatty acid metabolic process;lipid biosynthetic process,01.06;01.06.05;01.06.06,"lipid, fatty acid and isoprenoid metabolism;fatty acid metabolism;isoprenoid metabolism",17012231,None,None,None,Mus musculus (Mouse);Rattus norvegicus (Rat);Mus musculus (Mouse),5'-AMP-activated protein kinase subunit gamma-1;5'-AMP-activated protein kinase catalytic subunit alpha-2 ;5'-AMP-activated protein kinase subunit beta-2,Prkag1;Prkaa2;Prkab2,Prkaac;Ampk Ampk2;
5003,Vcp homohexamer complex,Mouse,p97/Vcp homohexamer complex,None,Q01853,269523,MI:0114-x-ray crystallography;MI:0040-electron microscopy,GO:0043161;GO:0006511;GO:0000301;GO:0006906;GO:0030968,"proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;retrograde transport, vesicle recycling within Golgi;vesicle fusion;endoplasmic reticulum unfolded protein response",14.13.01.01;20.09.07.07;20.09.07.27;32.01.07,proteasomal degradation (ubiquitin/proteasomal pathway);retrograde transport;vesicle fusion;unfolded protein response (e.g. ER quality control),12949490,None,None,None,Mus musculus (Mouse),Transitional endoplasmic reticulum ATPase,Vcp,p97
5142,"DCS complex (Ptbp1, Ptbp2, Hnrph1, Hnrpf)",Mouse,None,None,O35737;P17225;Q91Z31;Q9Z2X1,59013;19205;56195;98758,MI:0226- ion exchange chromatography; MI:0019- coimmunoprecipitation; MI:0004- affinity chromatography technologies,GO:0043484;GO:0048024;GO:0003723;GO:0005634,"regulation of RNA splicing;regulation of mRNA splicing, via spliceosome;RNA binding;nucleus",11.04.03.01.10;16.03.03;70.10,regulation of splicing;RNA binding;nucleus,11003644,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Heterogeneous nuclear ribonucleoprotein H ;Polypyrimidine tract-binding protein 1 ;Polypyrimidine tract-binding protein 2 ;Heterogeneous nuclear ribonucleoprotein F,Hnrnph1;Ptbp1;Ptbp2;Hnrnpf,Hnrph Hnrph1;Ptb;Brptb Nptb;Hnrpf
5158,Smarca2-Smarce1-Mecp2 complex,Mouse,Brm-Baf57-MECP2 complex,NIH3T3 cells,O54941;Q3TKT4;Q9Z2D6,57376;20586;17257,MI:0047-far western blotting;MI:0019-coimmunoprecipitation,GO:0006342;GO:0006338;GO:0045892,"chromatin silencing;chromatin remodeling;negative regulation of transcription, DNA-templated",11.02.03.04.03,transcription repression,15696166,"Transcriptional repression of methylated genes can be mediated by the methyl-CpG binding protein MeCP2. Brm, a catalytic component of the SWI/SNF-related chromatin-remodeling complex, associates with MeCP2 in vivo and is functionally linked with repression. MeCP2, Brm and Baf57 coimmunoprecipitate.",Brm and MeCP2 assembly on chromatin occurs on methylated genes in cancer.,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;Transcription activator BRG1;Methyl-CpG-binding protein 2,Smarce1;Smarca4;Mecp2,"Baf57;Baf190a, Brg1, Snf2b, Snf2l4;None"
5172,Sh3kbp1-Cblb-Egfr complex,Mouse,None,NIH 3T3 cells,Q01279;Q3TTA7;Q8R550,13649;208650;58194,MI:0007- anti tag coimmunoprecipitation,GO:0006898;GO:0007169,receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signaling pathway,20.09.18.09.01.01;30.05.01.12,receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signalling pathways,12177062,"Growth factor stimulation led to a complex formation between endogenous Sh3kbp1, Cbl-b and EGF or PDGF receptors in several cell lines. The results suggested that Sh3kbp1 binding to Cbl-b is important for EGF receptor internalization, although it has no effect on Cbl-b-induced receptor ubiquitination.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Epidermal growth factor receptor ;E3 ubiquitin-protein ligase CBL-B ;SH3 domain-containing kinase-binding protein 1,Egfr;Cblb;Sh3kbp1,;;Ruk Seta
5174,Smarcb1-Smarca2-Mecp2 complex,Mouse,Ini1-Brm-Mecp2 complex,NIH3T3 cells,Q99KH6;Q9Z0H3;Q9Z2D6,67155;20587;17257,MI:0096-pull down,GO:0045892;GO:0006338,"negative regulation of transcription, DNA-templated;chromatin remodeling",11.02.03.04.03,transcription repression,15696166,"MeCP2 is assembled on chromatin in a methylation-dependent manner. MeCP2 specifically interacted with Brm and INI1, consistent with the proposed existence of a soluble corepressor containing MeCP2 and the Brm-containing SWI/SNF complex.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Smarca2 protein;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;Methyl-CpG-binding protein 2,Smarca2;Smarcb1;Mecp2,"Baf190b, Brm, Snf2a, Snf2l2;Baf47, Ini1, Snf5l1;None"
5175,SWI/SNF-related chromatin-remodeling complex (Brm-based),Mouse,None,NIH3T3 cells,O54941;P70288;P97496;Q3UX55;Q60520;Q9Z0H3;Q9Z2D6,57376;15182;20588;67155;20466;20587;17257,MI:0019-coimmunoprecipitation,GO:0045892;GO:0006338,"negative regulation of transcription, DNA-templated;chromatin remodeling",11.02.03.04.03,transcription repression,15696166,MeCP2 is assembled on chromatin in a methylation-dependent manner. Transcriptional repression by MeCP2 involves a corepressor complex containing Sin3 and histone deacetylase (HDAC).,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;Histone deacetylase 2;SWI/SNF complex subunit SMARCC1;Putative uncharacterized protein;Paired amphipathic helix protein Sin3a;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;Methyl-CpG-binding protein 2,Smarce1;Hdac2;Smarcc1;Smarca2;Sin3a;Smarcb1;Mecp2,"Baf57;Yy1bp;Baf155, Srg3;Baf190b, Brm, Snf2a, Snf2l2;Kiaa4126;Baf47, Ini1, Snf5l1;None"
