yourlist:M20220311F248CABF64506F29A91F8037F07B67D145D581K,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q8VBV7,Q8VBV7,CSN8_MOUSE,reviewed,COP9 signalosome complex subunit 8 (SGN8) (Signalosome subunit 8) (COP9 homolog) (JAB1-containing signalosome subunit 8),Cops8 Csn8,Mus musculus (Mouse),209
P50462,P50462,CSRP3_MOUSE,reviewed,"Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)",Csrp3 Clp Mlp,Mus musculus (Mouse),194
P26231,P26231,CTNA1_MOUSE,reviewed,Catenin alpha-1 (102 kDa cadherin-associated protein) (Alpha E-catenin) (CAP102),Ctnna1 Catna1,Mus musculus (Mouse),906
Q02248,Q02248,CTNB1_MOUSE,reviewed,Catenin beta-1 (Beta-catenin),Ctnnb1 Catnb,Mus musculus (Mouse),781
P30999,P30999,CTND1_MOUSE,reviewed,Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas)),Ctnnd1 Catns Kiaa0384,Mus musculus (Mouse),938
Q9D4H8,Q9D4H8,CUL2_MOUSE,reviewed,Cullin-2 (CUL-2),Cul2,Mus musculus (Mouse),745
Q9JLV5,Q9JLV5,CUL3_MOUSE,reviewed,Cullin-3 (CUL-3),Cul3,Mus musculus (Mouse),768
P43024,P43024,CX6A1_MOUSE,reviewed,"Cytochrome c oxidase subunit 6A1, mitochondrial (Cytochrome c oxidase polypeptide VIa-liver)",Cox6a1 Cox6al,Mus musculus (Mouse),111
P56391,P56391,CX6B1_MOUSE,reviewed,Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1),Cox6b1 Cox6b,Mus musculus (Mouse),86
P28230,P28230,CXB1_MOUSE,reviewed,Gap junction beta-1 protein (Connexin-32) (Cx32),Gjb1 Cxn-32,Mus musculus (Mouse),283
Q9D0M3,Q9D0M3,CY1_MOUSE,reviewed,"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",Cyc1,Mus musculus (Mouse),325
Q91X77,Q91X77,CY250_MOUSE,reviewed,Cytochrome P450 2C50 (EC 1.14.14.1) (CYPIIC50),Cyp2c50,Mus musculus (Mouse),490
Q9CQX2,Q9CQX2,CYB5B_MOUSE,reviewed,Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform),Cyb5b Cyb5m,Mus musculus (Mouse),146
P56395,P56395,CYB5_MOUSE,reviewed,Cytochrome b5,Cyb5a Cyb5,Mus musculus (Mouse),134
Q9CXW3,Q9CXW3,CYBP_MOUSE,reviewed,Calcyclin-binding protein (CacyBP) (Siah-interacting protein),Cacybp Sip,Mus musculus (Mouse),229
P62897,P62897,CYC_MOUSE,reviewed,"Cytochrome c, somatic",Cycs,Mus musculus (Mouse),105
Q62426,Q62426,CYTB_MOUSE,reviewed,Cystatin-B (Stefin-B),Cstb Cst6 Stfb,Mus musculus (Mouse),98
A6X919,A6X919,D19L1_MOUSE,reviewed,Probable C-mannosyltransferase DPY19L1 (EC 2.4.1.-) (Dpy-19-like protein 1) (Protein dpy-19 homolog 1),Dpy19l1,Mus musculus (Mouse),746
Q9JII5,Q9JII5,DAZP1_MOUSE,reviewed,DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1),Dazap1,Mus musculus (Mouse),406
Q62418,Q62418,DBNL_MOUSE,reviewed,Drebrin-like protein (Actin-binding protein 1) (SH3 domain-containing protein 7),Dbnl Abp1 Sh3p7,Mus musculus (Mouse),436
O88487,O88487,DC1I2_MOUSE,reviewed,"Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)",Dync1i2 Dnci2 Dncic2,Mus musculus (Mouse),612
Q8R1Q8,Q8R1Q8,DC1L1_MOUSE,reviewed,"Cytoplasmic dynein 1 light intermediate chain 1 (Dynein light chain A) (DLC-A) (Dynein light intermediate chain 1, cytosolic)",Dync1li1 Dncli1 Dnclic1,Mus musculus (Mouse),523
Q99J39,Q99J39,DCMC_MOUSE,reviewed,"Malonyl-CoA decarboxylase, mitochondrial (MCD) (EC 4.1.1.9)",Mlycd,Mus musculus (Mouse),492
Q9DAR7,Q9DAR7,DCPS_MOUSE,reviewed,m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (HINT-5) (Scavenger mRNA-decapping enzyme DcpS),Dcps Dcs1 Hint5,Mus musculus (Mouse),338
Q99KJ8,Q99KJ8,DCTN2_MOUSE,reviewed,Dynactin subunit 2 (50 kDa dynein-associated polypeptide) (Dynactin complex 50 kDa subunit) (DCTN-50) (Growth cone membrane protein 23-48K) (GMP23-48K) (p50 dynamitin),Dctn2,Mus musculus (Mouse),402
P70697,P70697,DCUP_MOUSE,reviewed,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37),Urod,Mus musculus (Mouse),367
Q91X52,Q91X52,DCXR_MOUSE,reviewed,L-xylulose reductase (XR) (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase),Dcxr,Mus musculus (Mouse),244
Q9CWS0,Q9CWS0,DDAH1_MOUSE,reviewed,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)",Ddah1,Mus musculus (Mouse),285
Q3U1J4,Q3U1J4,DDB1_MOUSE,reviewed,DNA damage-binding protein 1 (DDB p127 subunit) (Damage-specific DNA-binding protein 1) (UV-damaged DNA-binding factor),Ddb1,Mus musculus (Mouse),1140
O88533,O88533,DDC_MOUSE,reviewed,Aromatic-L-amino-acid decarboxylase (AADC) (EC 4.1.1.28) (DOPA decarboxylase) (DDC),Ddc,Mus musculus (Mouse),480
A2ADY9,A2ADY9,DDI2_MOUSE,reviewed,Protein DDI1 homolog 2 (EC 3.4.23.-),Ddi2,Mus musculus (Mouse),399
Q501J6,Q501J6,DDX17_MOUSE,reviewed,Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17),Ddx17,Mus musculus (Mouse),650
Q91VR5,Q91VR5,DDX1_MOUSE,reviewed,ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1),Ddx1,Mus musculus (Mouse),740
Q9JIK5,Q9JIK5,DDX21_MOUSE,reviewed,Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu),Ddx21,Mus musculus (Mouse),851
Q62167,Q62167,DDX3X_MOUSE,reviewed,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (D1Pas1-related sequence 2) (DEAD box RNA helicase DEAD3) (mDEAD3) (DEAD box protein 3, X-chromosomal) (Embryonic RNA helicase)",Ddx3x D1Pas1-rs2 Ddx3 Dead3 Erh,Mus musculus (Mouse),662
Q6Q899,Q6Q899,DDX58_MOUSE,reviewed,Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),Ddx58,Mus musculus (Mouse),926
Q61656,Q61656,DDX5_MOUSE,reviewed,Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box RNA helicase DEAD1) (mDEAD1) (DEAD box protein 5) (RNA helicase p68),Ddx5 Tnz2,Mus musculus (Mouse),614
Q9WV68,Q9WV68,DECR2_MOUSE,reviewed,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] (EC 1.3.1.124) (2,4-dienoyl-CoA reductase 2)",Decr2 Pdcr,Mus musculus (Mouse),292
Q9CQ62,Q9CQ62,DECR_MOUSE,reviewed,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial (EC 1.3.1.124) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH])",Decr1,Mus musculus (Mouse),335
Q9CQJ6,Q9CQJ6,DENR_MOUSE,reviewed,Density-regulated protein (DRP),Denr,Mus musculus (Mouse),198
Q91YP3,Q91YP3,DEOC_MOUSE,reviewed,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),Dera,Mus musculus (Mouse),318
P31001,P31001,DESM_MOUSE,reviewed,Desmin,Des,Mus musculus (Mouse),469
E9Q557,E9Q557,DESP_MOUSE,reviewed,Desmoplakin (DP),Dsp,Mus musculus (Mouse),2883
Q9R0P5,Q9R0P5,DEST_MOUSE,reviewed,Destrin (Actin-depolymerizing factor) (ADF) (Sid 23),Dstn Dsn Sid23,Mus musculus (Mouse),165
Q9Z2A7,Q9Z2A7,DGAT1_MOUSE,reviewed,Diacylglycerol O-acyltransferase 1 (EC 2.3.1.20) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diglyceride acyltransferase),Dgat1 Dgat,Mus musculus (Mouse),498
Q9EQ06,Q9EQ06,DHB11_MOUSE,reviewed,Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Dehydrogenase/reductase SDR family member 8),Hsd17b11 Dhrs8 Pan1b,Mus musculus (Mouse),298
O70503,O70503,DHB12_MOUSE,reviewed,Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (KIK-I),Hsd17b12 Kik1,Mus musculus (Mouse),312
Q8VCR2,Q8VCR2,DHB13_MOUSE,reviewed,17-beta-hydroxysteroid dehydrogenase 13 (17-beta-HSD 13) (EC 1.1.-.-) (Alcohol dehydrogenase PAN1B-like) (Short-chain dehydrogenase/reductase 9),Hsd17b13 Scdr9,Mus musculus (Mouse),304
P51658,P51658,DHB2_MOUSE,reviewed,Estradiol 17-beta-dehydrogenase 2 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 2) (17-beta-HSD 2) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239),Hsd17b2 Edh17b2,Mus musculus (Mouse),381
P51660,P51660,DHB4_MOUSE,reviewed,"Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]",Hsd17b4 Edh17b4,Mus musculus (Mouse),735
P70694,P70694,DHB5_MOUSE,reviewed,Estradiol 17 beta-dehydrogenase 5 (EC 1.1.1.-) (17-beta-HSD 5),Akr1c6 Hsd17b5,Mus musculus (Mouse),323
O88736,O88736,DHB7_MOUSE,reviewed,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (3-keto-steroid reductase) (EC 1.1.1.270) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Estradiol 17-beta-dehydrogenase 7) (EC 1.1.1.62),Hsd17b7 17hsd7,Mus musculus (Mouse),334
P50171,P50171,DHB8_MOUSE,reviewed,(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12) (17-beta-hydroxysteroid dehydrogenase 8) (17-beta-HSD 8) (3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit) (KAR alpha subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (Estradiol 17-beta-dehydrogenase 8) (EC 1.1.1.62) (Protein Ke6) (Ke-6) (Testosterone 17-beta-dehydrogenase 8) (EC 1.1.1.239),Hsd17b8 H2-Ke6 Hke6,Mus musculus (Mouse),259
Q8VCH6,Q8VCH6,DHC24_MOUSE,reviewed,Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol Delta-24-reductase),Dhcr24 Kiaa0018,Mus musculus (Mouse),516
O88455,O88455,DHCR7_MOUSE,reviewed,7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Sterol Delta(7)-reductase),Dhcr7,Mus musculus (Mouse),471
Q9DBB8,Q9DBB8,DHDH_MOUSE,reviewed,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.3.1.20) (D-xylose 1-dehydrogenase) (D-xylose-NADP dehydrogenase) (EC 1.1.1.179) (Dimeric dihydrodiol dehydrogenase)",Dhdh,Mus musculus (Mouse),333
P26443,P26443,DHE3_MOUSE,reviewed,"Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)",Glud1 Glud,Mus musculus (Mouse),558
P50172,P50172,DHI1_MOUSE,reviewed,11-beta-hydroxysteroid dehydrogenase 1 (11-DH) (11-beta-HSD1) (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase/microsomal carbonyl reductase) (11-beta-HSD1A/MCR) (11beta-HSD1A) (7-oxosteroid reductase) (EC 1.1.1.201) (Corticosteroid 11-beta-dehydrogenase isozyme 1) (liver-type 11-beta-HSD),Hsd11b1 Hsd11,Mus musculus (Mouse),292
Q8BVI4,Q8BVI4,DHPR_MOUSE,reviewed,Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase),Qdpr Dhpr,Mus musculus (Mouse),241
Q3U0B3,Q3U0B3,DHR11_MOUSE,reviewed,Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Estradiol 17-beta-dehydrogenase) (EC 1.1.1.62) (Short-chain dehydrogenase/reductase family 24C member 1),Dhrs11 Sdr24c1,Mus musculus (Mouse),260
Q99L04,Q99L04,DHRS1_MOUSE,reviewed,Dehydrogenase/reductase SDR family member 1 (EC 1.1.1.-) (Short chain dehydrogenase/reductase family 19C member 1) (Protein SDR19C1),Dhrs1 D14ertd484e,Mus musculus (Mouse),313
Q99LB2,Q99LB2,DHRS4_MOUSE,reviewed,Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (EC 1.1.1.300) (NADPH-dependent carbonyl reductase) (CR) (NADPH-dependent retinol dehydrogenase/reductase) (NDRD) (mouNRDR) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (Short chain dehydrogenase/reductase family 25C member 2) (Protein SDR25C2),Dhrs4 D14Ucla2,Mus musculus (Mouse),279
Q64442,Q64442,DHSO_MOUSE,reviewed,Sorbitol dehydrogenase (SDH) (SORD) (EC 1.1.1.-) (L-iditol 2-dehydrogenase) (EC 1.1.1.14) (Polyol dehydrogenase) (Xylitol dehydrogenase) (XDH) (EC 1.1.1.9),Sord Sdh1,Mus musculus (Mouse),357
A2ATU0,A2ATU0,DHTK1_MOUSE,reviewed,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial (EC 1.2.4.2) (Dehydrogenase E1 and transketolase domain-containing protein 1)",Dhtkd1 Kiaa1630,Mus musculus (Mouse),921
O35286,O35286,DHX15_MOUSE,reviewed,ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (DEAH box protein 15),Dhx15 Ddx15 Deah9,Mus musculus (Mouse),795
O70133,O70133,DHX9_MOUSE,reviewed,ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (mHEL-5) (Nuclear DNA helicase II) (NDH II) (RNA helicase A) (RHA),Dhx9 Ddx9,Mus musculus (Mouse),1380
Q9QZD8,Q9QZD8,DIC_MOUSE,reviewed,Mitochondrial dicarboxylate carrier (Solute carrier family 25 member 10),Slc25a10 Dic,Mus musculus (Mouse),287
Q99KV1,Q99KV1,DJB11_MOUSE,reviewed,DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p),Dnajb11,Mus musculus (Mouse),358
Q5U458,Q5U458,DJC11_MOUSE,reviewed,DnaJ homolog subfamily C member 11,Dnajc11,Mus musculus (Mouse),559
Q9ESX5,Q9ESX5,DKC1_MOUSE,reviewed,H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1),Dkc1,Mus musculus (Mouse),509
O08749,O08749,DLDH_MOUSE,reviewed,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)",Dld,Mus musculus (Mouse),509
Q811D0,Q811D0,DLG1_MOUSE,reviewed,Disks large homolog 1 (Embryo-dlg/synapse-associated protein 97) (E-dlg/SAP97) (Synapse-associated protein 97) (SAP-97) (SAP97),Dlg1 Dlgh1,Mus musculus (Mouse),905
P63037,P63037,DNJA1_MOUSE,reviewed,DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2),Dnaja1 Dnaj2 Hsj2 Hspf4,Mus musculus (Mouse),397
Q99M87,Q99M87,DNJA3_MOUSE,reviewed,"DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (mTid-1) (Tumorous imaginal discs protein Tid56 homolog)",Dnaja3 Tid1,Mus musculus (Mouse),480
Q9D832,Q9D832,DNJB4_MOUSE,reviewed,DnaJ homolog subfamily B member 4,Dnajb4,Mus musculus (Mouse),337
Q91YW3,Q91YW3,DNJC3_MOUSE,reviewed,"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)",Dnajc3 P58ipk,Mus musculus (Mouse),504
Q8K1M6,Q8K1M6,DNM1L_MOUSE,reviewed,Dynamin-1-like protein (EC 3.6.5.5) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-related protein 1),Dnm1l Drp1,Mus musculus (Mouse),742
Q9Z2W0,Q9Z2W0,DNPEP_MOUSE,reviewed,Aspartyl aminopeptidase (EC 3.4.11.21),Dnpep,Mus musculus (Mouse),473
O35215,O35215,DOPD_MOUSE,reviewed,D-dopachrome decarboxylase (EC 4.1.1.84) (D-dopachrome tautomerase),Ddt,Mus musculus (Mouse),118
O70152,O70152,DPM1_MOUSE,reviewed,Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase),Dpm1,Mus musculus (Mouse),260
Q9ET22,Q9ET22,DPP2_MOUSE,reviewed,Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase),Dpp7 Dpp2 Qpp,Mus musculus (Mouse),506
Q99KK7,Q99KK7,DPP3_MOUSE,reviewed,Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B),Dpp3,Mus musculus (Mouse),738
P28843,P28843,DPP4_MOUSE,reviewed,Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (Thymocyte-activating molecule) (THAM) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)],Dpp4 Cd26,Mus musculus (Mouse),760
Q570Y9,Q570Y9,DPTOR_MOUSE,reviewed,DEP domain-containing mTOR-interacting protein (DEP domain-containing protein 6),Deptor Depdc6 Kiaa4200,Mus musculus (Mouse),409
Q8CHR6,Q8CHR6,DPYD_MOUSE,reviewed,Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase),Dpyd,Mus musculus (Mouse),1025
O08553,O08553,DPYL2_MOUSE,reviewed,Dihydropyrimidinase-related protein 2 (DRP-2) (Unc-33-like phosphoprotein 2) (ULIP-2),Dpysl2 Crmp2 Ulip2,Mus musculus (Mouse),572
Q9EQF5,Q9EQF5,DPYS_MOUSE,reviewed,Dihydropyrimidinase (DHP) (DHPase) (EC 3.5.2.2) (Dihydropyrimidine amidohydrolase) (Hydantoinase),Dpys,Mus musculus (Mouse),519
P32233,P32233,DRG1_MOUSE,reviewed,Developmentally-regulated GTP-binding protein 1 (DRG-1) (Neural precursor cell expressed developmentally down-regulated protein 3) (NEDD-3) (Translation factor GTPase DRG1) (TRAFAC GTPase DRG1) (EC 3.6.5.-),Drg1 Drg Nedd-3 Nedd3,Mus musculus (Mouse),367
Q99J47,Q99J47,DRS7B_MOUSE,reviewed,Dehydrogenase/reductase SDR family member 7B (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 1) (Protein SDR32C1),Dhrs7b Sdr32c1,Mus musculus (Mouse),323
O55111,O55111,DSG2_MOUSE,reviewed,Desmoglein-2,Dsg2,Mus musculus (Mouse),1122
Q3UIR3,Q3UIR3,DTX3L_MOUSE,reviewed,E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L),Dtx3l Bbap,Mus musculus (Mouse),748
Q9D7X3,Q9D7X3,DUS3_MOUSE,reviewed,Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (T-DSP11) (Vaccinia H1-related phosphatase) (VHR),Dusp3,Mus musculus (Mouse),185
Q8VDW0,Q8VDW0,DX39A_MOUSE,reviewed,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39),Ddx39a Ddx39,Mus musculus (Mouse),427
Q9Z1N5,Q9Z1N5,DX39B_MOUSE,reviewed,Spliceosome RNA helicase Ddx39b (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein),Ddx39b Bat1 Bat1a Uap56,Mus musculus (Mouse),428
Q9JHU4,Q9JHU4,DYHC1_MOUSE,reviewed,"Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)",Dync1h1 Dhc1 Dnch1 Dnchc1 Dyhc,Mus musculus (Mouse),4644
P63168,P63168,DYL1_MOUSE,reviewed,"Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN) (mPIN)",Dynll1 Dlc1 Dncl1 Dnclc1,Mus musculus (Mouse),89
Q9D0M5,Q9D0M5,DYL2_MOUSE,reviewed,"Dynein light chain 2, cytoplasmic (8 kDa dynein light chain b) (DLC8) (DLC8b) (Dynein light chain LC8-type 2)",Dynll2 Dlc2,Mus musculus (Mouse),89
P39054,P39054,DYN2_MOUSE,reviewed,Dynamin-2 (EC 3.6.5.5) (Dynamin UDNM),Dnm2 Dyn2,Mus musculus (Mouse),870
P00375,P00375,DYR_MOUSE,reviewed,Dihydrofolate reductase (EC 1.5.1.3),Dhfr,Mus musculus (Mouse),187
O70318,O70318,E41L2_MOUSE,reviewed,Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1) (4.1G),Epb41l2 Epb4.1l2,Mus musculus (Mouse),988
P70245,P70245,EBP_MOUSE,reviewed,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)",Ebp Msi,Mus musculus (Mouse),230
O35459,O35459,ECH1_MOUSE,reviewed,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)",Ech1,Mus musculus (Mouse),327
Q8BMS1,Q8BMS1,ECHA_MOUSE,reviewed,"Trifunctional enzyme subunit alpha, mitochondrial (Monolysocardiolipin acyltransferase) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]",Hadha,Mus musculus (Mouse),763
Q99JY0,Q99JY0,ECHB_MOUSE,reviewed,"Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]",Hadhb,Mus musculus (Mouse),475
Q9D9V3,Q9D9V3,ECHD1_MOUSE,reviewed,Ethylmalonyl-CoA decarboxylase (EC 4.1.1.94) (Enoyl-CoA hydratase domain-containing protein 1) (Methylmalonyl-CoA decarboxylase) (MMCD),Echdc1,Mus musculus (Mouse),322
Q3TLP5,Q3TLP5,ECHD2_MOUSE,reviewed,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",Echdc2 D4Ertd765e,Mus musculus (Mouse),296
Q9D7J9,Q9D7J9,ECHD3_MOUSE,reviewed,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",Echdc3,Mus musculus (Mouse),300
Q8BH95,Q8BH95,ECHM_MOUSE,reviewed,"Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)",Echs1,Mus musculus (Mouse),290
Q9DBM2,Q9DBM2,ECHP_MOUSE,reviewed,"Peroxisomal bifunctional enzyme (PBE) (PBFE) (L-peroxisomal bifunctional enzyme) (L-PBE) (Multifunctional enzyme 1) (MFE1) (Multifunctional protein 1) (MFP-1) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]",Ehhadh L-pbe,Mus musculus (Mouse),718
P42125,P42125,ECI1_MOUSE,reviewed,"Enoyl-CoA delta isomerase 1, mitochondrial (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)",Eci1 Dci,Mus musculus (Mouse),289
