,,,,,,,,,,,,E(t)=1-exp(-k0(t-t0)),,,,,
P32020,39,29,0,0.0336028,0.371384,0.659117,0.938196,0.964041,0.968912,0.96607,0.985065,0.327248,0.67259,0.999245,,SCP2_MOUSE,Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (Sterol carrier protein X) (SCP-X) (Straight-chain acyl-CoA oxidase) (SCPX)
P32261,3,1,0,0,0,0,0.831325,0.860841,1,1,1,0.822811,0.280481,0.9622,,ANT3_MOUSE,Antithrombin-III (ATIII) (Serpin C1)
P32883,3,1,0,0,0.240171,0.524243,0.819012,0.969077,1,1,0.999712,0.182202,0.3952,0.99702,,RASK_MOUSE,"GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]"
P33267,21,15,0,0.0562599,0.45565,0.777775,0.95279,0.947286,0.989809,0.968276,0.984598,0.313098,0.882381,0.999285,,CP2F2_MOUSE,Cytochrome P450 2F2 (EC 1.14.14.-) (CYPIIF2) (Cytochrome P450-NAH-2) (Naphthalene dehydrogenase) (Naphthalene hydroxylase)
P33622,3,2,0,0,0.903215,0.977816,0.981424,0.971715,1,0.970117,0.973186,0.379981,3.74609,0.999537,,APOC3_MOUSE,Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)
P34022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,RANG_MOUSE,Ran-specific GTPase-activating protein (HpaII tiny fragments locus 9a protein) (Ran-binding protein 1) (RANBP1)
P34884,3,1,0,0.00317911,0.0856272,0.197008,0.417451,0.730448,0.97143,0.994408,0.999515,0.317861,0.159597,0.997464,,MIF_MOUSE,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Delayed early response protein 6) (DER6) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)
P34914,38,29,0,0.00681186,0.0853063,0.278349,0.705016,0.951213,0.977324,0.983839,0.970463,0.553031,0.306338,0.995672,,HYES_MOUSE,Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)]
P34927,5,2,0,0.00947,0.078709,0.148351,0.709817,0.926869,0.871687,0.954263,0.884645,0.615641,0.270591,0.981618,,ASGR1_MOUSE,Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (Hepatic lectin 1) (HL-1) (mHL-1)
P35278,3,2,0,0,0,0.231781,0.812753,0.978452,1,1,0.990526,0.692278,0.344253,0.986207,,RAB5C_MOUSE,Ras-related protein Rab-5C (EC 3.6.5.2)
P35279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,RAB6A_MOUSE,Ras-related protein Rab-6A (Rab-6)
P35292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,RAB17_MOUSE,Ras-related protein Rab-17
P35293,4,2,0,0,0.521468,0.946964,1,0.954933,0.946128,1,1,0.388156,1.35215,0.998288,,RAB18_MOUSE,Ras-related protein Rab-18
P35486,6,4,0,0.057777,0.16113,0.279322,0.489358,0.773268,0.935156,0.978848,0.996828,0.0583328,0.176519,0.999795,,ODPA_MOUSE,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)"
P35492,14,9,0,0,0.0471583,0.111137,0.542101,0.854977,0.931064,0.982017,0.99038,0.705241,0.211278,0.992412,,HUTH_MOUSE,Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)
P35505,21,9,0,0.00990927,0.0743921,0.140168,0.374654,0.790282,0.929432,0.915228,0.973874,0.586428,0.162401,0.993891,,FAAA_MOUSE,Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase)
P35550,2,1,0,0,0,0.279951,0.457732,0.641931,0.954331,1,0.959407,0.50636,0.162257,0.994922,,FBRL_MOUSE,rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase) (Nucleolar protein 1) (U6 snRNA 2'-O-methyltransferase fibrillarin)
P35564,14,11,0,0.0359685,0.220584,0.3918,0.78576,0.97627,0.994084,0.99621,0.997329,0.33738,0.369379,0.99826,,CALX_MOUSE,Calnexin
P35576,9,5,0,0,0,0.157436,0.789817,0.867057,0.982301,0.951294,0.964966,0.721155,0.294468,0.982437,,G6PC1_MOUSE,Glucose-6-phosphatase catalytic subunit 1 (EC 3.1.3.9) (Glucose-6-phosphatase) (G-6-Pase) (G6Pase)
P35700,24,16,0,0.00553604,0.149848,0.330919,0.637433,0.917505,0.97714,0.996443,0.998567,0.415928,0.281994,0.999425,,PRDX1_MOUSE,Peroxiredoxin-1 (EC 1.11.1.24) (Macrophage 23 kDa stress protein) (Osteoblast-specific factor 3) (OSF-3) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)
P35822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,PTPRK_MOUSE,Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)
P35979,4,3,0,0,0.116547,0.236491,0.356688,0.463239,0.770333,0.944231,0.987715,-0.134353,0.0951243,0.994456,,RL12_MOUSE,60S ribosomal protein L12
P35980,5,3,0,0.00385157,0.0353686,0.183681,0.346551,0.673882,0.926905,0.989569,0.994851,0.602646,0.145785,0.998339,,RL18_MOUSE,60S ribosomal protein L18
P36552,9,4,0,0,0,0.263717,0.644718,0.946059,0.946376,0.997162,0.991219,0.672606,0.283975,0.993893,,HEM6_MOUSE,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)"
P37040,28,18,0,0.0229621,0.140115,0.267772,0.738176,0.964316,0.97807,0.986976,0.984198,0.471372,0.314371,0.994477,,NCPR_MOUSE,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)
P37804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,TAGL_MOUSE,Transgelin (Actin-associated protein p27) (Smooth muscle protein 22-alpha) (SM22-alpha)
P38060,5,5,0,0,0.0451378,0.161003,0.599402,0.830982,0.956333,0.987499,0.980526,0.652161,0.226079,0.994679,,HMGCL_MOUSE,"Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)"
P38647,28,22,0,0.0371279,0.210541,0.394944,0.759284,0.94598,0.986559,0.980629,0.984984,0.31997,0.348526,0.998955,,GRP75_MOUSE,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (Peptide-binding protein 74) (PBP74) (p66 MOT)"
P39039,1,1,0,0.391796,1,0.949873,0.976344,1,0.998442,1,1,0.0167161,1.9307,0.994595,,MBL1_MOUSE,Mannose-binding protein A (MBP-A) (Mannan-binding protein) (Ra-reactive factor polysaccharide-binding component p28B) (RaRF p28B)
P39054,2,2,0,0,0,0,0.885775,0.953665,0.965499,0.957465,0.930945,0.815555,0.314114,0.954446,,DYN2_MOUSE,Dynamin-2 (EC 3.6.5.5) (Dynamin UDNM)
P40124,4,1,0,0,0,0.964867,1,1,1,1,0.969656,0.521876,0.825034,0.964835,,CAP1_MOUSE,Adenylyl cyclase-associated protein 1 (CAP 1)
P40142,23,20,0,0.00142919,0.083322,0.20393,0.437189,0.667524,0.904209,0.956052,0.976743,0.381469,0.148253,0.999685,,TKT_MOUSE,Transketolase (TK) (EC 2.2.1.1) (P68)
P40630,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,TFAM_MOUSE,"Transcription factor A, mitochondrial (mtTFA) (Testis-specific high mobility group protein) (TS-HMG)"
P40936,13,2,0,0.00643988,0.082252,0.197873,0.606885,0.916685,0.974165,1,1,0.58779,0.252685,0.995079,,INMT_MOUSE,Indolethylamine N-methyltransferase (Indolamine N-methyltransferase) (EC 2.1.1.49) (EC 2.1.1.96) (Aromatic alkylamine N-methyltransferase) (Amine N-methyltransferase) (Arylamine N-methyltransferase) (Thioether S-methyltransferase) (TEMT)
P41105,6,5,0,0.0161849,0.0408169,0.119021,0.200038,0.532662,0.904276,0.985811,0.997973,0.755481,0.112713,0.990695,,RL28_MOUSE,60S ribosomal protein L28
P41216,37,30,0,0.0165065,0.0941837,0.312994,0.647603,0.933239,0.983777,0.984466,0.978229,0.48891,0.285815,0.997933,,ACSL1_MOUSE,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Phytanate--CoA ligase) (EC 6.2.1.24)
P41317,2,1,0,0,0,0,0,1,1,1,1,1.24114,0.163383,0.914832,,MBL2_MOUSE,Mannose-binding protein C (MBP-C) (Mannan-binding protein) (RA-reactive factor P28A subunit) (RARF/P28A)
P42125,17,1,0,0.10386,0.349388,0.264728,0.57805,0.771852,1,1,1,-0.235654,0.195306,0.992295,,ECI1_MOUSE,"Enoyl-CoA delta isomerase 1, mitochondrial (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)"
P42669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,PURA_MOUSE,Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)
P42925,6,2,0,0.176723,0.223129,0.360263,0.675098,0.890343,0.980131,1,1,-0.189616,0.245569,0.998219,,PXMP2_MOUSE,Peroxisomal membrane protein 2 (22 kDa peroxisomal membrane protein)
P42932,2,1,0,0,0.177115,0.739313,0.720995,0.864552,1,1,0.952264,0.395594,0.512014,0.986098,,TCPQ_MOUSE,T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)
P43024,4,4,0,0.00743037,0.0505672,0.159679,0.415564,0.788855,0.965932,0.984188,0.99923,0.638371,0.17846,0.99675,,CX6A1_MOUSE,"Cytochrome c oxidase subunit 6A1, mitochondrial (Cytochrome c oxidase polypeptide VIa-liver)"
P43274,3,1,0,0,0,0.0545052,0.0886771,0.242219,0.554318,0.70343,0.818825,0.871098,0.0500124,0.992703,,H14_MOUSE,Histone H1.4 (H1 VAR.2) (H1e)
P43277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,H13_MOUSE,Histone H1.3 (H1 VAR.4) (H1d)
P45376,10,5,0,0.003443,0.0513318,0.184436,0.373867,0.7442,0.969795,0.990243,0.969375,0.608227,0.165284,0.997168,,ALDR_MOUSE,Aldo-keto reductase family 1 member B1 (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldo-keto reductase family 1 member B3) (Aldose reductase) (AR) (EC 1.1.1.21)
P45591,6,5,0,0.00730622,0.0794642,0.189958,0.459464,0.836089,0.989144,0.986424,0.98768,0.568913,0.198868,0.996795,,COF2_MOUSE,"Cofilin-2 (Cofilin, muscle isoform)"
P45878,4,1,0,0,0,0.71978,0.691682,1,1,0.987543,0.992997,0.523277,0.473736,0.978102,,FKBP2_MOUSE,Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase)
P45952,11,3,0,0,0.187349,0.446705,0.863005,0.900953,0.962133,0.991215,1,0.437628,0.426812,0.996988,,ACADM_MOUSE,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)"
P46412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,GPX3_MOUSE,Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)
P46471,3,2,0,0,0,0,0.781058,0.95889,0.990709,0.941369,0.996658,0.838378,0.286536,0.964861,,PRS7_MOUSE,26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)
P46638,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,RB11B_MOUSE,Ras-related protein Rab-11B (EC 3.6.5.2)
P46656,3,1,0,0.0645479,0.0813073,0.312195,1,0.906976,0.982358,0.881688,1,0.258125,0.353922,0.970178,,ADX_MOUSE,"Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1)"
P46735,11,6,0,0,0.0549037,0.0926082,0.768811,0.944992,0.932561,0.958221,0.983078,0.707975,0.290764,0.978324,,MYO1B_MOUSE,Unconventional myosin-Ib (MIH-L) (Myosin I alpha) (MMI-alpha) (MMIa)
P46978,8,3,0,0,0,0,0.171841,0.484162,0.820053,0.952319,0.922718,1.18404,0.0979575,0.990364,,STT3A_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A (Oligosaccharyl transferase subunit STT3A) (STT3-A) (EC 2.4.99.18) (B5) (Integral membrane protein 1)
P47199,6,5,0,0.0813284,0.0807289,0.19831,0.432879,0.84496,0.973393,0.979721,0.995346,0.359193,0.183841,0.993878,,QOR_MOUSE,Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin)
P47738,32,25,0,0.0286894,0.205694,0.466594,0.813029,0.929326,0.966227,0.967108,0.967577,0.355185,0.403108,0.998571,,ALDH2_MOUSE,"Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (AHD-M1) (ALDH class 2) (ALDH-E2) (ALDHI)"
P47740,8,5,0,0.0204496,0.114288,0.290966,0.834826,0.932514,0.89599,0.99444,0.994823,0.504911,0.349349,0.989762,,AL3A2_MOUSE,Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Aldehyde dehydrogenase 3) (Fatty aldehyde dehydrogenase)
P47754,2,2,0,0,0,0,0.123479,1,0.898093,0.950933,0.922098,1.13169,0.164681,0.938527,,CAZA2_MOUSE,F-actin-capping protein subunit alpha-2 (CapZ alpha-2)
P47758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,SRPRB_MOUSE,Signal recognition particle receptor subunit beta (SR-beta)
P47791,3,2,0,0,0,0,0.527014,0.737881,0.983645,1,1,0.899775,0.184279,0.9848,,GSHR_MOUSE,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)"
P47911,12,5,0,0,0.0315324,0.0511432,0.224976,0.499695,0.848637,0.982708,0.998592,0.931408,0.107078,0.992982,,RL6_MOUSE,60S ribosomal protein L6 (TAX-responsive enhancer element-binding protein 107) (TAXREB107)
P47915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,RL29_MOUSE,60S ribosomal protein L29
P47955,4,3,0,0.00968203,0.0829918,0.162692,0.234319,0.47913,0.852063,0.959358,0.995475,0.445714,0.101769,0.994066,,RLA1_MOUSE,60S acidic ribosomal protein P1
P47962,7,4,0,0.0151495,0.033707,0.135149,0.265296,0.478521,0.774323,0.943666,0.991054,0.531975,0.0963184,0.997607,,RL5_MOUSE,60S ribosomal protein L5
P47963,1,1,0,0,0,0.0870908,0.227411,0.45521,0.779349,0.965982,0.994034,0.65385,0.0934469,0.992769,,RL13_MOUSE,60S ribosomal protein L13 (A52)
P47964,3,1,0,0,0,0.198046,0.131086,0.601576,0.87457,0.994638,0.997503,0.574427,0.110906,0.981417,,RL36_MOUSE,60S ribosomal protein L36
P48024,5,1,0,0.335946,0.918044,1,0.855459,1,1,1,1,0.258839,3.37872,0.996993,,EIF1_MOUSE,Eukaryotic translation initiation factor 1 (eIF1) (Protein translation factor SUI1 homolog)
P48036,4,2,0,0,0.0785175,0.067765,0.378931,0.568695,1,0.927583,1,0.669826,0.134352,0.989689,,ANXA5_MOUSE,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)
P48678,13,6,0,0,0.00608458,0.0872303,0.230145,0.604635,0.855739,0.972477,0.926462,0.885251,0.116349,0.9943,,LMNA_MOUSE,Prelamin-A/C [Cleaved into: Lamin-A/C]
P48758,8,7,0,0.00333774,0.0342774,0.0829592,0.394007,0.819237,0.998684,0.982873,0.994693,0.802941,0.181992,0.990697,,CBR1_MOUSE,Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196) (EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189)
P48771,4,2,0,0,0,0.113102,0.22431,0.796409,0.859284,0.976268,0.984334,0.887549,0.144636,0.984382,,CX7A2_MOUSE,"Cytochrome c oxidase subunit 7A2, mitochondrial (Cytochrome c oxidase subunit VIIa-liver/heart) (Cytochrome c oxidase subunit VIIa-L)"
P48774,4,1,0,0,0,0.217832,0.467768,0.847018,1,1,1,0.448266,0.191878,0.992088,,GSTM5_MOUSE,Glutathione S-transferase Mu 5 (EC 2.5.1.18) (Fibrous sheath component 2) (Fsc2) (GST class-mu 5)
P48776,3,1,0,0,1,0.821739,1,1,1,1,1,0.0841343,1.27104,0.966152,,T23O_MOUSE,"Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)"
P49312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,ROA1_MOUSE,"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (HDP-1) (Helix-destabilizing protein) (Single-strand-binding protein) (Topoisomerase-inhibitor suppressed) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]"
P49429,23,7,0,0.0132078,0.216058,0.553076,0.879176,0.997003,0.989005,0.990056,0.999038,0.410105,0.51337,0.999045,,HPPD_MOUSE,4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase) (F Alloantigen) (F protein)
P49722,5,4,0,0.0028675,0.135651,0.245686,0.577121,0.919282,0.978816,0.995509,0.999918,0.479729,0.250077,0.997292,,PSA2_MOUSE,Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3)
P49962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,SRP09_MOUSE,Signal recognition particle 9 kDa protein (SRP9)
P50136,9,5,0,0.039116,0.180855,0.322377,0.464677,0.951037,0.990982,0.984474,0.986566,0.251922,0.228284,0.993078,,ODBA_MOUSE,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDE1A) (BCKDH E1-alpha)"
P50171,3,1,0,0,0,0,0.238816,0.434467,0.923799,1,1,0.846893,0.104412,0.978126,,DHB8_MOUSE,(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12) (17-beta-hydroxysteroid dehydrogenase 8) (17-beta-HSD 8) (3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit) (KAR alpha subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (Estradiol 17-beta-dehydrogenase 8) (EC 1.1.1.62) (Protein Ke6) (Ke-6) (Testosterone 17-beta-dehydrogenase 8) (EC 1.1.1.239)
P50172,15,10,0,0.0479873,0.12385,0.361215,0.743839,0.935436,0.970999,0.969957,0.956978,0.395083,0.3247,0.99681,,DHI1_MOUSE,11-beta-hydroxysteroid dehydrogenase 1 (11-DH) (11-beta-HSD1) (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase/microsomal carbonyl reductase) (11-beta-HSD1A/MCR) (11beta-HSD1A) (7-oxosteroid reductase) (EC 1.1.1.201) (Corticosteroid 11-beta-dehydrogenase isozyme 1) (liver-type 11-beta-HSD)
P50247,35,22,0,0.0205772,0.0981062,0.208098,0.557835,0.854183,0.980396,0.99288,0.979885,0.491427,0.222226,0.997314,,SAHH_MOUSE,Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (CUBP) (Liver copper-binding protein) (S-adenosyl-L-homocysteine hydrolase)
P50285,12,5,0,0.0113687,0.0958854,0.303086,0.757686,0.94837,0.97123,0.9801,0.970043,0.52824,0.32978,0.9952,,FMO1_MOUSE,Dimethylaniline monooxygenase [N-oxide-forming] 1 (EC 1.14.13.8) (Dimethylaniline oxidase 1) (Hepatic flavin-containing monooxygenase 1) (FMO 1)
P50295,2,1,0,0,0.0366938,0.0495223,0.322726,0.806719,0.987445,0.985356,0.99937,0.599588,0.154658,0.981995,,ARY2_MOUSE,Arylamine N-acetyltransferase 2 (EC 2.3.1.5) (Arylamide acetylase 2) (N-acetyltransferase type 2) (NAT-2)
P50431,16,11,0,0.0125374,0.14848,0.328228,0.623376,0.882585,0.982281,0.992802,0.990171,0.378001,0.264836,0.999764,,GLYC_MOUSE,"Serine hydroxymethyltransferase, cytosolic (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)"
P50462,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,CSRP3_MOUSE,"Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)"
P50544,28,23,0,0.00495186,0.133505,0.383485,0.756936,0.947538,0.992408,0.990366,0.99187,0.470108,0.354773,0.998609,,ACADV_MOUSE,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.9) (MVLCAD) (VLCAD)"
P50580,3,1,0,0,0,0,0.279199,0.610447,0.97185,0.997313,0.978665,1.07319,0.134727,0.98763,,PA2G4_MOUSE,Proliferation-associated protein 2G4 (IRES-specific cellular trans-acting factor 45 kDa) (ITAF45) (Mpp1) (Proliferation-associated protein 1) (Protein p38-2G4)
P50637,1,1,0,0,0,0,0.562559,0.802805,0.928583,1,0.971415,0.583726,0.176456,0.976547,,TSPO_MOUSE,Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR)
P51150,7,1,0,0,0,0,1,1,1,1,1,0.492903,0.301296,0.928922,,RAB7A_MOUSE,Ras-related protein Rab-7a (EC 3.6.5.2)
P51174,13,6,0,0,0.0124444,0.0900907,0.339554,0.759935,0.949061,0.982904,0.999728,0.848426,0.160805,0.993256,,ACADL_MOUSE,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)"
P51410,10,3,0,0,0.0160531,0.103159,0.219745,0.588841,0.806246,0.972896,0.982949,0.821967,0.110633,0.995384,,RL9_MOUSE,60S ribosomal protein L9
P51658,5,2,0,0,0,0,0,0.763033,0.93786,0.928563,0.990249,1.31812,0.126802,0.948833,,DHB2_MOUSE,Estradiol 17-beta-dehydrogenase 2 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 2) (17-beta-HSD 2) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239)
P51660,28,16,0,0.0526038,0.194891,0.45295,0.909772,0.976222,0.985287,0.982486,0.986682,0.374069,0.450943,0.995675,,DHB4_MOUSE,"Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]"
P51855,1,1,0,0,0,0,0.576598,0.62848,1,1,1,0.577562,0.157156,0.973412,,GSHB_MOUSE,Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)
P51859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,HDGF_MOUSE,Hepatoma-derived growth factor (HDGF)
P51881,22,8,0,0.00118487,0.0250754,0.0369246,0.2989,0.636164,0.85898,0.900789,0.946321,0.838446,0.119974,0.993772,,ADT2_MOUSE,"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]"
P52196,9,6,0,0,0.023163,0.180115,0.452802,0.736851,0.941035,0.97629,0.991061,0.640801,0.173884,0.998615,,THTR_MOUSE,Thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese)
P52430,6,3,0,0,0.338984,0.548125,0.88219,0.957106,0.976218,0.999007,0.998474,0.348269,0.537747,0.998915,,PON1_MOUSE,Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (Serum aryldialkylphosphatase 1)
P52503,5,4,0,0.0349921,0.0538986,0.180856,0.770948,0.898587,0.925107,1,1,0.58129,0.287918,0.985591,,NDUS6_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)"
P52760,9,6,0,0.0115403,0.0769978,0.168249,0.463295,0.790399,0.952881,0.991834,0.99836,0.550177,0.184179,0.99773,,RIDA_MOUSE,2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Heat-responsive protein 12) (Reactive intermediate imine deaminase A homolog) (Translation inhibitor L-PSP ribonuclease)
P52825,20,18,0,0.00110008,0.0404929,0.193722,0.525542,0.831521,0.968836,0.992215,0.987439,0.635495,0.213101,0.997468,,CPT2_MOUSE,"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)"
P52840,7,6,0,0.0324807,0.340267,0.377412,0.738974,0.961343,0.990194,0.998214,0.987874,0.174052,0.339213,0.995953,,ST1A1_MOUSE,Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Phenol sulfotransferase) (Phenol/aryl sulfotransferase) (mSTp1) (ST1A4) (Sulfokinase)
P53026,10,2,0,0.00961995,0.168062,0.228066,0.457803,0.846288,0.941728,1,0.970075,0.336207,0.193603,0.996517,,RL10A_MOUSE,60S ribosomal protein L10a (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)
